OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
1636569,LOP221116000959,1179 34TH ST,34TH ST,415N,DISTURBANCE-NEIGHBOR,1668627213000,6047296,2127970,C,07X,CCD3,11/16/22  7:33:33 PM,1668638833000,7,1,1
1636570,LOP221116000960,1226 BROADWAY,BROADWAY,911C,911 HANG UP FROM CP,1668627220000,6049785,2119742,C,03X,CCD3,11/16/22  7:33:40 PM,1668627220000,3,1,1
1636571,LOP221116000961,5531 E 15TH ST,E 15TH ST,945A,AMBULANCE REQUESTED,1668627263000,6069769,2106569,C,27Y,CCD6,11/16/22  7:34:23 PM,1668627263000,27,4,3
1636572,LOP221116000963,383 MACARTHUR BLVD,MACARTHUR BLVD,597,CRUELTY TO ANIMAL,1668627436000,6055966,2122679,C,14X,CCD3,11/16/22  7:37:16 PM,1668670947000,14,2,2
1636573,LOP221116000964,3427 MAGNOLIA ST,MAGNOLIA ST,911C,911 HANG UP FROM CP,1668627461000,6047180,2128129,C,07X,CCD3,11/16/22  7:37:41 PM,1668629721000,7,1,1
1636574,LOP221116000965,15TH ST&FRANKLIN ST,ST&FRANKLIN ST,459AU,AUTO BURGLARY,1668627568000,6050520,2120349,C,04X,CCD3,11/16/22  7:39:28 PM,1668627573000,4,1,1
1636575,LOP221116000966,175 41ST ST,41ST ST,459AU,AUTO BURGLARY,1668627622000,6055370,2128272,C,09X,CCD1,11/16/22  7:40:22 PM,1668627622000,9,2,1
1636576,LOP221116000968,1614 CAMPBELL ST,CAMPBELL ST,415GF,GIRLFRIEND CREATING,1668627775000,6043461,2123619,C,05Y,CCD3,11/16/22  7:42:55 PM,1668637890000,5,1,1
1636577,LOP221116000971,E 12TH ST&37TH AV,12TH ST&37TH AV,929,FIRE,1668627834000,6064083,2108915,C,23X,CCD5,11/16/22  7:43:54 PM,1668627834000,23,4,2
1636578,LOP221116000972,2221 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,933R,ALARM-RINGER,1668627959000,6049523,2122994,C,04X,CCD3,11/16/22  7:45:59 PM,1668639847000,4,1,1
1636579,LOP221116000973,COOLIDGE AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,415GS,415 GUNSHOTS,1668628011000,6067992,2117719,C,22X,CCD4,11/16/22  7:46:51 PM,1668644040000,22,3,2
1636580,LOP221116000974,363 17TH ST,17TH ST,459,BURGLARY,1668628059000,6051012,2120687,C,04X,CCD3,11/16/22  7:47:39 PM,1668628141000,4,1,1
1636581,LOP221116000975,2200 E 15TH ST,E 15TH ST,SECCK,SECURITY CHECK,1668628109000,6059729,2113114,C,19X,CCD2,11/16/22  7:48:29 PM,1668628930000,19,3,2
1636582,LOP221116000979,36TH AV&SAN LEANDRO ST,AV&SAN LEANDRO ST,929,FIRE,1668628283000,6063597,2108733,C,23X,CCD5,11/16/22  7:51:23 PM,1668628283000,23,4,2
1636583,LOP221116000978,1050 AQUARIUS WY,AQUARIUS WY,949,SUSPICIOUS VEHICLE,1668628258000,6065063,2133411,C,13Y,CCD1,11/16/22  7:50:58 PM,1668629709000,13,2,1
1636584,LOP221116000982,9907 D ST,D ST,MP,MISSING PERSON,1668628437000,6077398,2096595,A,32X,CCD7,11/16/22  7:53:57 PM,1668680558000,32,5,3
1636585,LOP221116000983,2361 FRUITVALE AV,FRUITVALE AV,945A,AMBULANCE REQUESTED,1668628474000,6064153,2113415,C,21Y,CCD5,11/16/22  7:54:34 PM,1668628474000,21,3,2
1636586,LOP221116000984,10023 PIPPIN ST,PIPPIN ST,933R,ALARM-RINGER,1668628529000,6076229,2095393,P,31Z,CCD7,11/16/22  7:55:29 PM,1668628529000,31,5,3
1636587,LOP221116000985,1724 ADELINE ST,ADELINE ST,933R,ALARM-RINGER,1668628584000,6045983,2122994,C,05X,CCD3,11/16/22  7:56:24 PM,1668640442000,5,1,1
1636588,LOP221116000986,6525 SHATTUCK AV,SHATTUCK AV,5150,MENTALLY ILL,1668628685000,6051810,2137106,C,11X,CCD1,11/16/22  7:58:05 PM,1668632042000,11,2,1
1636589,LOP221116000981,E 12TH ST&37TH AV,12TH ST&37TH AV,417,BRANDISH A WEAPON,1668628421000,6064083,2108915,C,23X,CCD5,11/16/22  7:53:41 PM,1668628749000,23,4,2
1636590,LOP221116000987,8350 EDES AV,EDES AV,415TH,415 THREATS,1668628807000,6071561,2097833,P,31Y,CCD7,11/16/22  8:00:07 PM,1668628808000,31,5,3
1636591,LOP221116000988,1224 40TH AV,40TH AV,970B,AUTO BLOCKING DRIVEW,1668629007000,6064881,2108477,C,23X,CCD5,11/16/22  8:03:27 PM,1668633552000,23,4,2
1636592,LOP221116000990,6966 BALSAM WY,BALSAM WY,459AU,AUTO BURGLARY,1668629103000,6067799,2136361,C,13Y,CCD4,11/16/22  8:05:03 PM,1668629103000,13,2,1
1636593,LOP221116000991,455 EMBARCADERO COVE,EMBARCADERO COVE,211,ROBBERY,1668629179000,6058229,2111947,C,19X,CCD5,11/16/22  8:06:19 PM,1668674123000,19,3,2
1636594,LOP221116000995,26TH ST&VALDEZ ST,ST&VALDEZ ST,912,SUSPICIOUS PERSON,1668629366000,6052325,2123889,C,08X,CCD3,11/16/22  8:09:26 PM,1668633449000,8,2,1
1636595,LOP221116000994,6686 CHABOT RD,CHABOT RD,415C,415 UNKNOWN,1668629365000,6058127,2136711,C,12Y,CCD1,11/16/22  8:09:25 PM,1668631332000,12,2,1
1636596,LOP221116000997,715 PERALTA ST,PERALTA ST,911C,911 HANG UP FROM CP,1668629469000,6042224,2121020,C,02Y,CCD3,11/16/22  8:11:09 PM,1668629469000,2,1,1
1636597,LOP221116000998,4809 MELROSE AV,MELROSE AV,970B,AUTO BLOCKING DRIVEW,1668629592000,6068552,2108970,C,27X,CCD4,11/16/22  8:13:12 PM,1668674370000,27,4,3
1636598,LOP221116000999,827 WASHINGTON ST,WASHINGTON ST,SECCK,SECURITY CHECK,1668629626000,6048880,2118950,C,03Y,CCD3,11/16/22  8:13:46 PM,1668638975000,3,1,1
1636599,LOP221116001000,9925 E ST,E ST,R10851,RECOVERED STOLEN VEH,1668629759000,6077074,2096330,C,32X,CCD7,11/16/22  8:15:59 PM,1668636581000,32,5,3
1636600,LOP221116001001,98TH AV&E ST,AV&E ST,415TH,415 THREATS,1668629828000,6076807,2096739,C,32X,CCD7,11/16/22  8:17:08 PM,1668629829000,32,5,3
1636601,LOP221116001003,9311 OLIVE ST,OLIVE ST,SECCK,SECURITY CHECK,1668629932000,6079836,2100159,P,34X,CCD7,11/16/22  8:18:52 PM,1668650136000,34,5,3
1636602,LOP221116001005,7101 EDGEWATER DR,EDGEWATER DR,INFO,BEAT INFORMATION,1668629955000,6067451,2099631,C,31X,CCD7,11/16/22  8:19:15 PM,1668630055000,31,5,3
1636603,LOP221116001004,120 CATRON DR,CATRON DR,911N,POLICE RELATED MATTE,1668629949000,6076900,2091047,C,31Z,CCD7,11/16/22  8:19:09 PM,1668629949000,31,5,3
1636604,LOP221116001006,1543 HAVENSCOURT BLVD,HAVENSCOURT BLVD,945A,AMBULANCE REQUESTED,1668630082000,6072476,2104483,C,30X,CCD6,11/16/22  8:21:22 PM,1668630082000,30,5,3
1636605,LOP221116001007,8450 EDGEWATER DR,EDGEWATER DR,459AU,AUTO BURGLARY,1668630158000,6070665,2095456,C,31X,CCD7,11/16/22  8:22:38 PM,1668630158000,31,5,3
1636606,LOP221116001008,385 14TH ST,14TH ST,945A,AMBULANCE REQUESTED,1668630283000,6050431,2119925,C,03X,CCD2,11/16/22  8:24:43 PM,1668630283000,3,1,1
1636607,LOP221116001009,HEGENBERGER RD&INTERNATIONAL BLVD,RD&INTERNATIONAL BLVD,TEC,TEC CALL,1668630346000,6074001,2103290,P,26Y,CCD7,11/16/22  8:25:46 PM,1668630395000,26,4,3
1636608,LOP221116001010,204 ORANGE ST,ORANGE ST,10851,STOLEN VEHICLE,1668630466000,6054084,2124151,C,14X,CCD3,11/16/22  8:27:46 PM,1668643314000,14,2,2
1636609,LOP221116001011,1815 WEST ST,WEST ST,415C,415 UNKNOWN,1668630654000,6048111,2122417,C,05X,CCD3,11/16/22  8:30:54 PM,1668642464000,5,1,1
1636610,LOP221116001012,1436 6TH AV,6TH AV,20002,HIT & RUN (PROPERTY,1668630745000,6055372,2116832,C,19X,CCD2,11/16/22  8:32:25 PM,1668631851000,19,3,2
1636611,LOP221116001013,1615 SEMINARY AV,SEMINARY AV,945A,AMBULANCE REQUESTED,1668630759000,6070859,2105911,C,27Y,CCD6,11/16/22  8:32:39 PM,1668630759000,27,4,3
1636612,LOP221116001014,20TH ST&MANDELA PKWY,ST&MANDELA PKWY,970,AUTO IMPROPERLY PARK,1668630915000,6044613,2124263,C,05Y,CCD3,11/16/22  8:35:15 PM,1668644771000,5,1,1
1636613,LOP221116001016,24TH ST&BROADWAY,ST&BROADWAY,594,VANDALISM,1668631074000,6051689,2123447,C,08X,CCD3,11/16/22  8:37:54 PM,1668631074000,8,2,1
1636614,LOP221116001017,1807 TELEGRAPH AV,TELEGRAPH AV,MSDIAL,MISDIAL,1668631081000,6050319,2121391,C,04X,CCD3,11/16/22  8:38:01 PM,1668631081000,4,1,1
1636615,LOP221116001015,974 16TH ST,16TH ST,242,BATTERY,1668631062000,6046943,2122397,C,05X,CCD3,11/16/22  8:37:42 PM,1668651607000,5,1,1
1636616,LOP221116001018,468 PERKINS ST,PERKINS ST,911H,911 HANG-UP,1668631247000,6054290,2121584,C,14X,CCD3,11/16/22  8:40:47 PM,1668640045000,14,2,2
1636617,LOP221116001019,37 GRAND AV,GRAND AV,459AU,AUTO BURGLARY,1668631302000,6051468,2122725,C,04X,CCD3,11/16/22  8:41:42 PM,1668631302000,4,1,1
1636618,LOP221116001020,66TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,HAZ,HAZARDOUS SITUATION/,1668631306000,6072082,2104488,C,27Y,CCD6,11/16/22  8:41:46 PM,1668644940000,27,4,3
1636619,LOP221116001021,1221 E 20TH ST,E 20TH ST,415C,415 UNKNOWN,1668631683000,6058237,2116406,C,17X,CCD2,11/16/22  8:48:03 PM,1668631693000,17,3,2
1636620,LOP221116001022,1036 7TH AV,7TH AV,415SS,415 SHOT SPOTTER GUN,1668631725000,6054697,2115775,C,19X,CCD2,11/16/22  8:48:45 PM,1668645662000,19,3,2
1636621,LOP221116001024,601 WILLIAM ST,WILLIAM ST,945A,AMBULANCE REQUESTED,1668632021000,6049945,2121954,C,04X,CCD3,11/16/22  8:53:41 PM,1668632021000,4,1,1
1636622,LOP221116001025,HEGENBERGER RD&SAN LEANDRO ST,RD&SAN LEANDRO ST,HAZ,HAZARDOUS SITUATION/,1668632053000,6071421,2100911,C,26Y,CCD7,11/16/22  8:54:13 PM,1668644425000,26,4,3
1636623,LOP221116001027,5521 E 15TH ST,E 15TH ST,970C,AUTO IN RESTRICED ZO,1668632158000,6069747,2106595,P,27Y,CCD6,11/16/22  8:55:58 PM,1668632161000,27,4,3
1636624,LOP221116001026,14TH ST&HARRISON ST,ST&HARRISON ST,459AU,AUTO BURGLARY,1668632107000,6051014,2119646,C,03X,CCD2,11/16/22  8:55:07 PM,1668632107000,3,1,1
1636625,LOP221116001023,110 41ST ST,41ST ST,945A,AMBULANCE REQUESTED,1668631993000,6055902,2127997,C,09X,CCD1,11/16/22  8:53:13 PM,1668631994000,9,2,1
1636641,LOP221116001029,9922 HOLLY ST,HOLLY ST,415A,DISTURBANCE-AUTO,1668632332000,6079316,2097632,C,32X,CCD7,11/16/22  8:58:52 PM,1668637556000,32,5,3
1636642,LOP221116001028,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1668632318000,6067451,2099631,C,31X,CCD7,11/16/22  8:58:38 PM,1668632320000,31,5,3
1636643,LOP221116001030,7826 HILLSIDE ST,HILLSIDE ST,415F,415 FAMILY,1668632392000,6078862,2105372,C,30Y,CCD6,11/16/22  8:59:52 PM,1668647402000,30,5,3
1636644,LOP221116001031,1903 65TH AV,65TH AV,INFO,BEAT INFORMATION,1668632515000,6072585,2105245,C,27Y,CCD6,11/16/22  9:01:55 PM,1668632589000,27,4,3
1636645,LOP221116001032,1601 80TH AV,80TH AV,415,DISTURBING THE PEACE,1668632581000,6076463,2102847,C,30X,CCD6,11/16/22  9:03:01 PM,1668632581000,30,5,3
1636646,LOP221116000404,10TH ST&WEBSTER ST,ST&WEBSTER ST,SPEC,SPECIAL ASSIGNMENT,1668597174000,6050162,2118829,C,03X,CCD2,11/16/22 11:12:54 AM,1668632633000,3,1,1
1636647,LOP221116001033,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1668632679000,6063940,2112660,C,21Y,CCD5,11/16/22  9:04:39 PM,1668632679000,21,3,2
1636648,LOP221116001034,2707 MONTICELLO AV,MONTICELLO AV,949,SUSPICIOUS VEHICLE,1668632701000,6070869,2110670,C,28X,CCD6,11/16/22  9:05:01 PM,1668647540000,28,4,3
1636649,LOP221116001035,451 44TH ST,44TH ST,970B,AUTO BLOCKING DRIVEW,1668632740000,6053065,2130351,C,12X,CCD1,11/16/22  9:05:40 PM,1668641421000,12,2,1
1636650,LOP221116001036,2633 E 27TH ST,E 27TH ST,945A,AMBULANCE REQUESTED,1668632819000,6064081,2115125,C,21X,CCD5,11/16/22  9:06:59 PM,1668632819000,21,3,2
1636651,LOP221116001037,471 26TH ST,26TH ST,602L,TRESPASS:,1668632876000,6051150,2124141,C,08X,CCD3,11/16/22  9:07:56 PM,1668639751000,8,2,1
1636652,LOP221116001038,952B 18TH ST,18TH ST,484LP,STOLEN LICENSE PLATE,1668632977000,6047211,2122824,P,05X,CCD3,11/16/22  9:09:37 PM,1668632984000,5,1,1
1636653,LOP221116001040,2512 HAVENSCOURT BLVD,HAVENSCOURT BLVD,601R,RUNAWAY,1668633081000,6074446,2106068,C,30X,CCD6,11/16/22  9:11:21 PM,1668653161000,30,5,3
1636654,LOP221116001042,EB BROADWAY OFFRP&EB S24,BROADWAY OFFRP&EB S24,BCAST,BROADCAST,1668633116000,6057101,2135234,C,12Y,CCD1,11/16/22  9:11:56 PM,1668633256000,12,2,1
1636655,LOP221116001043,1501 37TH AV,37TH AV,415E,LOUD MUSIC,1668633131000,6064514,2109561,C,23X,CCD5,11/16/22  9:12:11 PM,1668633470000,23,4,2
1636656,LOP221116001044,560 59TH ST,59TH ST,SECCK,SECURITY CHECK,1668633237000,6052461,2134866,C,11X,CCD1,11/16/22  9:13:57 PM,1668634203000,11,2,1
1636657,LOP221116001045,7200 BANCROFT AV,BANCROFT AV,415,DISTURBING THE PEACE,1668633322000,6076750,2105916,C,30Y,CCD6,11/16/22  9:15:22 PM,1668653889000,30,5,3
1636658,LOP221116001046,2335 BROADWAY,BROADWAY,417,BRANDISH A WEAPON,1668633427000,6051520,2123167,C,08X,CCD3,11/16/22  9:17:07 PM,1668645497000,8,2,1
1636659,LOP221116001047,2361 FRUITVALE AV,FRUITVALE AV,SUPPL,SUPPLEMENT,1668633503000,6064153,2113415,P,21Y,CCD5,11/16/22  9:18:23 PM,1668633504000,21,3,2
1636660,LOP221116001048,100 WASHINGTON ST,WASHINGTON ST,459AU,AUTO BURGLARY,1668633535000,6047981,2117127,C,01X,CCD3,11/16/22  9:18:55 PM,1668633535000,1,1,1
1636661,LOP221116001049,1930 70TH AV,70TH AV,943,FIGHT,1668633621000,6074870,2104954,C,30X,CCD6,11/16/22  9:20:21 PM,1668635814000,30,5,3
1636662,LOP221116001050,2529 94TH AV,94TH AV,10851,STOLEN VEHICLE,1668633695000,6081823,2100980,C,35X,CCD7,11/16/22  9:21:35 PM,1668639717000,35,5,3
1636663,LOP221116001052,300 PALM AV,PALM AV,970B,AUTO BLOCKING DRIVEW,1668633954000,6054672,2122764,C,14X,CCD3,11/16/22  9:25:54 PM,1668641097000,14,2,2
1636664,LOP221116001051,2227 SAN PABLO AV,SAN PABLO AV,459AU,AUTO BURGLARY,1668633927000,6049213,2123271,C,07X,CCD3,11/16/22  9:25:27 PM,1668633927000,7,1,1
1636665,LOP221116001053,BARTLETT ST&LYNDE ST,ST&LYNDE ST,415E,LOUD MUSIC,1668634037000,6066610,2113688,C,24Y,CCD4,11/16/22  9:27:17 PM,1668634091000,24,4,2
1636666,LOP221116001054,1427 5TH AV,5TH AV,20002,HIT & RUN (PROPERTY,1668634101000,6055098,2117122,C,19X,CCD2,11/16/22  9:28:21 PM,1668634220000,19,3,2
1636667,LOP221116001055,100 BAY PL,BAY PL,945A,AMBULANCE REQUESTED,1668634126000,6053122,2122628,C,14X,CCD3,11/16/22  9:28:46 PM,1668634126000,14,2,2
1636668,LOP221116001056,1759 BROADWAY,BROADWAY,933R,ALARM-RINGER,1668634513000,6050474,2121148,C,04X,CCD3,11/16/22  9:35:13 PM,1668634897000,4,1,1
1636669,LOP221116001057,2545 26TH AV,26TH AV,GAS,GAS LEAK,1668634543000,6063585,2114827,C,21X,CCD5,11/16/22  9:35:43 PM,1668634543000,21,3,2
1636670,LOP221116001058,5TH ST&CASTRO ST,ST&CASTRO ST,415,DISTURBING THE PEACE,1668634652000,6047126,2118824,C,02X,CCD3,11/16/22  9:37:32 PM,1668636081000,2,1,1
